Team,Year,Contest (Average),AveragePoints,Contest (First),FirstPct,Contest (Top 5),Top5Pct
Brentwood,1996,Overall,NA,Overall,NA,Overall,NA
Westbury,1996,Overall,0.00,Overall,NA,Overall,NA
Coram,1996,Overall,NA,Overall,NA,Overall,NA
Ilion,1996,Overall,NA,Overall,NA,Overall,NA
New Hyde Park,1996,Overall,1.06,Overall,0.1,Overall,4.7
Deerfield,1996,Overall,NA,Overall,NA,Overall,NA
Port Washington,1996,Overall,NA,Overall,NA,Overall,NA
East Islip,1996,Overall,0.05,Overall,NA,Overall,0.2
Hempstead Flukes,1996,Overall,0.01,Overall,NA,Overall,NA
Cutchogue,1996,Overall,0.16,Overall,NA,Overall,0.4
Selden,1996,Overall,NA,Overall,NA,Overall,NA
Oyster Bay TB,1996,Overall,NA,Overall,NA,Overall,NA
Point Pleasant,1996,Overall,NA,Overall,NA,Overall,NA
Bay Shore,1996,Overall,0.12,Overall,NA,Overall,0.5
Sayville,1996,Overall,NA,Overall,NA,Overall,NA
Islip,1996,Overall,0.00,Overall,NA,Overall,NA
Roslyn,1996,Overall,NA,Overall,NA,Overall,NA
Patchogue,1996,Overall,0.82,Overall,0.2,Overall,3.8
Clayton,1996,Overall,NA,Overall,NA,Overall,NA
Spencerport,1996,Overall,NA,Overall,NA,Overall,NA
East Farmingdale,1996,Overall,NA,Overall,NA,Overall,NA
Holbrook,1996,Overall,NA,Overall,NA,Overall,NA
Barnard,1996,Overall,NA,Overall,NA,Overall,NA
Levittown,1996,Overall,NA,Overall,NA,Overall,NA
Central Islip,1996,Overall,0.00,Overall,NA,Overall,NA
Inwood,1996,Overall,NA,Overall,NA,Overall,NA
Hamlin,1996,Overall,NA,Overall,NA,Overall,NA
Carle Place,1996,Overall,0.00,Overall,NA,Overall,NA
Hewlett,1996,Overall,NA,Overall,NA,Overall,NA
Merrick,1996,Overall,NA,Overall,NA,Overall,NA
Manhasset-Lakeville,1996,Overall,NA,Overall,NA,Overall,NA
Syosset,1996,Overall,NA,Overall,NA,Overall,NA
Riverhead,1996,Overall,NA,Overall,NA,Overall,NA
Wyandanch,1996,Overall,NA,Overall,NA,Overall,NA
North Babylon,1996,Overall,NA,Overall,NA,Overall,NA
West Islip,1996,Overall,0.00,Overall,NA,Overall,NA
Union Hose,1996,Overall,NA,Overall,NA,Overall,NA
West Carthage,1996,Overall,NA,Overall,NA,Overall,NA
Lindenhurst,1996,Overall,0.00,Overall,NA,Overall,NA
Hempstead Yellow Hornets,1996,Overall,0.04,Overall,NA,Overall,NA
Sea Breeze,1996,Overall,NA,Overall,NA,Overall,NA
Henrietta,1996,Overall,NA,Overall,NA,Overall,NA
Main-Transit,1996,Overall,NA,Overall,NA,Overall,NA
Lake Placid,1996,Overall,NA,Overall,NA,Overall,NA
Bayport,1996,Overall,0.00,Overall,NA,Overall,NA
West Hempstead,1996,Overall,NA,Overall,NA,Overall,NA
Elmont,1996,Overall,0.00,Overall,NA,Overall,NA
Hicksville,1996,Overall,NA,Overall,NA,Overall,NA
Freeport,1996,Overall,NA,Overall,NA,Overall,NA
North Lindenhurst,1996,Overall,0.72,Overall,0.5,Overall,3.2
West Sayville,1996,Overall,0.87,Overall,0.2,Overall,4.1
North Bellmore,1996,Overall,0.00,Overall,NA,Overall,NA
Saint James,1996,Overall,0.06,Overall,NA,Overall,0.2
East Islip,1997,Overall,0.00,Overall,NA,Overall,NA
Farmingville,1997,Overall,NA,Overall,NA,Overall,NA
Port Washington,1997,Overall,0.11,Overall,NA,Overall,0.4
Syosset,1997,Overall,NA,Overall,NA,Overall,NA
New Hyde Park,1997,Overall,0.33,Overall,NA,Overall,0.6
Riverhead,1997,Overall,0.00,Overall,NA,Overall,NA
Merrick,1997,Overall,0.00,Overall,NA,Overall,NA
Clayton,1997,Overall,NA,Overall,NA,Overall,NA
Mineola,1997,Overall,NA,Overall,NA,Overall,NA
Oyster Bay TB,1997,Overall,0.00,Overall,NA,Overall,NA
South Hempstead,1997,Overall,0.00,Overall,NA,Overall,NA
Coram,1997,Overall,NA,Overall,NA,Overall,NA
Hempstead Flukes,1997,Overall,0.00,Overall,NA,Overall,NA
Selden,1997,Overall,NA,Overall,NA,Overall,NA
Glenwood,1997,Overall,NA,Overall,NA,Overall,NA
Barnard,1997,Overall,NA,Overall,NA,Overall,NA
Central Islip,1997,Overall,0.20,Overall,NA,Overall,0.4
Carle Place,1997,Overall,NA,Overall,NA,Overall,NA
Holbrook,1997,Overall,NA,Overall,NA,Overall,NA
Farmingdale,1997,Overall,NA,Overall,NA,Overall,NA
Hewlett,1997,Overall,NA,Overall,NA,Overall,NA
East Farmingdale,1997,Overall,NA,Overall,NA,Overall,NA
Westbury,1997,Overall,NA,Overall,NA,Overall,NA
Wyandanch,1997,Overall,NA,Overall,NA,Overall,NA
Deerfield,1997,Overall,NA,Overall,NA,Overall,NA
Hempstead Yellow Hornets,1997,Overall,0.10,Overall,NA,Overall,0.3
Inwood,1997,Overall,NA,Overall,NA,Overall,NA
Hamlin,1997,Overall,NA,Overall,NA,Overall,NA
Cutchogue,1997,Overall,NA,Overall,NA,Overall,NA
Lake Placid,1997,Overall,NA,Overall,NA,Overall,NA
